genome,accession,all_accessions
SAMN02256401,"['ARVZ01000001', 'ARVZ01000001', 'ARVZ01000001', 'ARVZ01000001']","['NZ_ARVZ00000000.1', 'NZ_ARVZ01000001.1', 'ARVZ00000000.1', 'ARVZ01000001.1']"
SAMD00036762,"['BASX01000003', 'BASX01000005']","['NZ_BASX00000000.1', 'NZ_BASX01000059.1', 'NZ_BASX01000056.1', 'NZ_BASX01000055.1', 'NZ_BASX01000054.1', 'NZ_BASX01000053.1', 'NZ_BASX01000052.1', 'NZ_BASX01000051.1', 'NZ_BASX01000050.1', 'NZ_BASX01000049.1', 'NZ_BASX01000048.1', 'NZ_BASX01000047.1', 'NZ_BASX01000046.1', 'NZ_BASX01000045.1', 'NZ_BASX01000044.1', 'NZ_BASX01000043.1', 'NZ_BASX01000041.1', 'NZ_BASX01000040.1', 'NZ_BASX01000039.1', 'NZ_BASX01000038.1']"
SAMN02436690,['KB291787'],"['AMFA00000000.1', 'KB291718.1', 'KB291719.1', 'KB291720.1', 'KB291721.1', 'KB291722.1', 'KB291723.1', 'KB291724.1', 'KB291725.1', 'KB291726.1', 'KB291727.1', 'KB291728.1', 'KB291729.1', 'KB291730.1', 'KB291731.1', 'KB291732.1', 'KB291733.1', 'KB291734.1', 'KB291735.1', 'KB291736.1']"
SAMN02441325,['KB906617'],"['NZ_KB906672.1', 'NZ_KB906671.1', 'NZ_KB906670.1', 'NZ_KB906669.1', 'NZ_KB906668.1', 'NZ_KB906667.1', 'NZ_KB906666.1', 'NZ_KB906665.1', 'NZ_KB906664.1', 'NZ_KB906663.1', 'NZ_KB906662.1', 'NZ_KB906661.1', 'NZ_KB906660.1', 'NZ_KB906659.1', 'NZ_KB906658.1', 'NZ_KB906657.1', 'NZ_KB906656.1', 'NZ_KB906655.1', 'NZ_KB906654.1', 'NZ_KB906653.1']"
SAMN02393707,"['AFNK01000043', 'AFNK01000042', 'AFNK01000021']","['NZ_AFNK00000000.1', 'NZ_AFNK01000087.1', 'NZ_AFNK01000086.1', 'NZ_AFNK01000085.1', 'NZ_AFNK01000084.1', 'NZ_AFNK01000083.1', 'NZ_AFNK01000082.1', 'NZ_AFNK01000081.1', 'NZ_AFNK01000080.1', 'NZ_AFNK01000079.1', 'NZ_AFNK01000078.1', 'NZ_AFNK01000077.1', 'NZ_AFNK01000076.1', 'NZ_AFNK01000075.1', 'NZ_AFNK01000074.1', 'NZ_AFNK01000073.1', 'NZ_AFNK01000072.1', 'NZ_AFNK01000071.1', 'NZ_AFNK01000070.1', 'NZ_AFNK01000069.1']"
SAMN03197959,['JUUL01000015'],"['NZ_JUUL00000000.1', 'NZ_JUUL01000136.1', 'NZ_JUUL01000135.1', 'NZ_JUUL01000134.1', 'NZ_JUUL01000133.1', 'NZ_JUUL01000132.1', 'NZ_JUUL01000131.1', 'NZ_JUUL01000130.1', 'NZ_JUUL01000129.1', 'NZ_JUUL01000128.1', 'NZ_JUUL01000127.1', 'NZ_JUUL01000126.1', 'NZ_JUUL01000125.1', 'NZ_JUUL01000124.1', 'NZ_JUUL01000123.1', 'NZ_JUUL01000122.1', 'NZ_JUUL01000121.1', 'NZ_JUUL01000120.1', 'NZ_JUUL01000119.1', 'NZ_JUUL01000118.1']"
SAMN05660349,['FUYQ01000010'],"['NZ_FUYQ00000000.1', 'NZ_FUYQ01000044.1', 'NZ_FUYQ01000043.1', 'NZ_FUYQ01000042.1', 'NZ_FUYQ01000041.1', 'NZ_FUYQ01000040.1', 'NZ_FUYQ01000039.1', 'NZ_FUYQ01000038.1', 'NZ_FUYQ01000037.1', 'NZ_FUYQ01000036.1', 'NZ_FUYQ01000035.1', 'NZ_FUYQ01000034.1', 'NZ_FUYQ01000033.1', 'NZ_FUYQ01000032.1', 'NZ_FUYQ01000031.1', 'NZ_FUYQ01000030.1', 'NZ_FUYQ01000029.1', 'NZ_FUYQ01000028.1', 'NZ_FUYQ01000027.1', 'NZ_FUYQ01000026.1']"
SAMD00028038,['BBWG01000264'],"['BBWG00000000.1', 'BBWG01000001.1', 'BBWG01000002.1', 'BBWG01000003.1', 'BBWG01000004.1', 'BBWG01000005.1', 'BBWG01000006.1', 'BBWG01000007.1', 'BBWG01000008.1', 'BBWG01000009.1', 'BBWG01000010.1', 'BBWG01000011.1', 'BBWG01000012.1', 'BBWG01000013.1', 'BBWG01000014.1', 'BBWG01000015.1', 'BBWG01000016.1', 'BBWG01000017.1', 'BBWG01000018.1', 'BBWG01000019.1']"
SAMN05589875,"['CP017009', 'CP017009']","['NZ_CP017011.1', 'NZ_CP017010.1', 'NZ_CP017009.1', 'CP017011.1', 'CP017010.1', 'CP017009.1']"
SAMN06323273,"['CP019732', 'CP019732', 'CP019732']","['NZ_CP019733.1', 'NZ_CP019732.1', 'CP019733.1', 'CP019732.1']"
SAMN04226596,"['CP013290', 'CP013290']","['NZ_CP013290.1', 'CP013290.1']"
SAMN03001946,"['JQGJ02000005', 'JQGJ02000005']","['NZ_JQGJ00000000.2', 'NZ_JQGJ02000065.1', 'NZ_JQGJ02000064.1', 'NZ_JQGJ02000063.1', 'NZ_JQGJ02000062.1', 'NZ_JQGJ02000061.1', 'NZ_JQGJ02000060.1', 'NZ_JQGJ02000059.1', 'NZ_JQGJ02000058.1', 'NZ_JQGJ02000057.1', 'NZ_JQGJ02000056.1', 'NZ_JQGJ02000055.1', 'NZ_JQGJ02000054.1', 'NZ_JQGJ02000053.1', 'NZ_JQGJ02000052.1', 'NZ_JQGJ02000051.1', 'NZ_JQGJ02000050.1', 'NZ_JQGJ02000049.1', 'NZ_JQGJ02000048.1', 'NZ_JQGJ02000047.1']"
