genome,accession,all_accessions
SAMN03852682,"['CP012801', 'CP012801', 'CP012801', 'CP012801', 'CP012801']","['NZ_CP012801.1', 'CP012801.1']"
SAMN03976298,"['LJPT01000171', 'LJPT01000018', 'LJPT01000018']","['NZ_LJPT00000000.1', 'NZ_LJPT01000189.1', 'NZ_LJPT01000188.1', 'NZ_LJPT01000187.1', 'NZ_LJPT01000186.1', 'NZ_LJPT01000185.1', 'NZ_LJPT01000184.1', 'NZ_LJPT01000183.1', 'NZ_LJPT01000182.1', 'NZ_LJPT01000181.1', 'NZ_LJPT01000180.1', 'NZ_LJPT01000179.1', 'NZ_LJPT01000178.1', 'NZ_LJPT01000177.1', 'NZ_LJPT01000176.1', 'NZ_LJPT01000175.1', 'NZ_LJPT01000174.1', 'NZ_LJPT01000173.1', 'NZ_LJPT01000172.1', 'NZ_LJPT01000171.1']"
SAMN03328953,['JYHK01000037'],"['NZ_JYHK00000000.1', 'NZ_JYHK01000265.1', 'NZ_JYHK01000264.1', 'NZ_JYHK01000263.1', 'NZ_JYHK01000262.1', 'NZ_JYHK01000261.1', 'NZ_JYHK01000260.1', 'NZ_JYHK01000259.1', 'NZ_JYHK01000258.1', 'NZ_JYHK01000257.1', 'NZ_JYHK01000256.1', 'NZ_JYHK01000255.1', 'NZ_JYHK01000254.1', 'NZ_JYHK01000253.1', 'NZ_JYHK01000252.1', 'NZ_JYHK01000251.1', 'NZ_JYHK01000250.1', 'NZ_JYHK01000249.1', 'NZ_JYHK01000248.1', 'NZ_JYHK01000247.1']"
SAMN03992139,['LILL01000100'],"['NZ_LILL00000000.1', 'NZ_LILL01000283.1', 'NZ_LILL01000282.1', 'NZ_LILL01000281.1', 'NZ_LILL01000280.1', 'NZ_LILL01000279.1', 'NZ_LILL01000278.1', 'NZ_LILL01000277.1', 'NZ_LILL01000276.1', 'NZ_LILL01000275.1', 'NZ_LILL01000274.1', 'NZ_LILL01000273.1', 'NZ_LILL01000272.1', 'NZ_LILL01000271.1', 'NZ_LILL01000270.1', 'NZ_LILL01000269.1', 'NZ_LILL01000268.1', 'NZ_LILL01000267.1', 'NZ_LILL01000266.1', 'NZ_LILL01000265.1']"
SAMN06251744,['MUBC01000057'],"['NZ_MUBC00000000.1', 'NZ_MUBC01000119.1', 'NZ_MUBC01000118.1', 'NZ_MUBC01000117.1', 'NZ_MUBC01000116.1', 'NZ_MUBC01000115.1', 'NZ_MUBC01000114.1', 'NZ_MUBC01000113.1', 'NZ_MUBC01000112.1', 'NZ_MUBC01000111.1', 'NZ_MUBC01000110.1', 'NZ_MUBC01000109.1', 'NZ_MUBC01000108.1', 'NZ_MUBC01000107.1', 'NZ_MUBC01000106.1', 'NZ_MUBC01000105.1', 'NZ_MUBC01000104.1', 'NZ_MUBC01000103.1', 'NZ_MUBC01000102.1', 'NZ_MUBC01000101.1']"
SAMEA3490268,['CZJY01000043'],"['NZ_CZJY00000000.1', 'NZ_CZJY01000125.1', 'NZ_CZJY01000124.1', 'NZ_CZJY01000123.1', 'NZ_CZJY01000122.1', 'NZ_CZJY01000121.1', 'NZ_CZJY01000120.1', 'NZ_CZJY01000119.1', 'NZ_CZJY01000118.1', 'NZ_CZJY01000117.1', 'NZ_CZJY01000116.1', 'NZ_CZJY01000115.1', 'NZ_CZJY01000114.1', 'NZ_CZJY01000113.1', 'NZ_CZJY01000112.1', 'NZ_CZJY01000111.1', 'NZ_CZJY01000110.1', 'NZ_CZJY01000109.1', 'NZ_CZJY01000108.1', 'NZ_CZJY01000107.1']"
SAMEA3490270,"['CZJS01000117', 'CZJS01000117']","['NZ_CZJS00000000.1', 'NZ_CZJS01000195.1', 'NZ_CZJS01000194.1', 'NZ_CZJS01000193.1', 'NZ_CZJS01000192.1', 'NZ_CZJS01000191.1', 'NZ_CZJS01000190.1', 'NZ_CZJS01000189.1', 'NZ_CZJS01000188.1', 'NZ_CZJS01000187.1', 'NZ_CZJS01000186.1', 'NZ_CZJS01000185.1', 'NZ_CZJS01000184.1', 'NZ_CZJS01000183.1', 'NZ_CZJS01000182.1', 'NZ_CZJS01000181.1', 'NZ_CZJS01000180.1', 'NZ_CZJS01000179.1', 'NZ_CZJS01000178.1', 'NZ_CZJS01000177.1']"
SAMN03197489,"['JVMO01000044', 'JVMO01000044']","['JVMO00000000.1', 'JVMO01000001.1', 'JVMO01000002.1', 'JVMO01000003.1', 'JVMO01000004.1', 'JVMO01000005.1', 'JVMO01000006.1', 'JVMO01000007.1', 'JVMO01000008.1', 'JVMO01000009.1', 'JVMO01000010.1', 'JVMO01000011.1', 'JVMO01000012.1', 'JVMO01000013.1', 'JVMO01000014.1', 'JVMO01000015.1', 'JVMO01000016.1', 'JVMO01000017.1', 'JVMO01000018.1', 'JVMO01000019.1']"
SAMN03197638,['JVGV01000007'],"['NZ_JVGV00000000.1', 'NZ_JVGV01000037.1', 'NZ_JVGV01000036.1', 'NZ_JVGV01000035.1', 'NZ_JVGV01000034.1', 'NZ_JVGV01000033.1', 'NZ_JVGV01000032.1', 'NZ_JVGV01000031.1', 'NZ_JVGV01000030.1', 'NZ_JVGV01000029.1', 'NZ_JVGV01000028.1', 'NZ_JVGV01000027.1', 'NZ_JVGV01000026.1', 'NZ_JVGV01000025.1', 'NZ_JVGV01000024.1', 'NZ_JVGV01000023.1', 'NZ_JVGV01000022.1', 'NZ_JVGV01000021.1', 'NZ_JVGV01000020.1', 'NZ_JVGV01000019.1']"
SAMN03197663,['JVFV01000038'],"['NZ_JVFV00000000.1', 'NZ_JVFV01000044.1', 'NZ_JVFV01000043.1', 'NZ_JVFV01000042.1', 'NZ_JVFV01000041.1', 'NZ_JVFV01000040.1', 'NZ_JVFV01000039.1', 'NZ_JVFV01000038.1', 'NZ_JVFV01000037.1', 'NZ_JVFV01000036.1', 'NZ_JVFV01000035.1', 'NZ_JVFV01000034.1', 'NZ_JVFV01000033.1', 'NZ_JVFV01000032.1', 'NZ_JVFV01000031.1', 'NZ_JVFV01000030.1', 'NZ_JVFV01000029.1', 'NZ_JVFV01000028.1', 'NZ_JVFV01000027.1', 'NZ_JVFV01000026.1']"
SAMN04031595,['LJHK01000127'],"['NZ_LJHK00000000.1', 'NZ_LJHK01000188.1', 'NZ_LJHK01000187.1', 'NZ_LJHK01000186.1', 'NZ_LJHK01000185.1', 'NZ_LJHK01000184.1', 'NZ_LJHK01000183.1', 'NZ_LJHK01000182.1', 'NZ_LJHK01000181.1', 'NZ_LJHK01000180.1', 'NZ_LJHK01000179.1', 'NZ_LJHK01000178.1', 'NZ_LJHK01000177.1', 'NZ_LJHK01000176.1', 'NZ_LJHK01000175.1', 'NZ_LJHK01000174.1', 'NZ_LJHK01000173.1', 'NZ_LJHK01000172.1', 'NZ_LJHK01000171.1', 'NZ_LJHK01000170.1']"
SAMEA3138319,['BX571963'],"['NZ_CP116811.1', 'NZ_CP116810.1', 'CP116811.1', 'CP116810.1', 'BX572593.1', 'BX572608.1', 'BX572607.1', 'BX572606.1', 'BX572605.1', 'BX572604.1', 'BX572603.1', 'BX572602.1', 'BX572601.1', 'BX572600.1', 'BX572599.1', 'BX572598.1', 'BX572597.1', 'BX572596.1', 'BX572595.1', 'BX572594.1']"
SAMN04488569,"['FOSJ01000059', 'FOSJ01000026']","['NZ_FOSJ00000000.1', 'NZ_FOSJ01000124.1', 'NZ_FOSJ01000123.1', 'NZ_FOSJ01000122.1', 'NZ_FOSJ01000121.1', 'NZ_FOSJ01000120.1', 'NZ_FOSJ01000119.1', 'NZ_FOSJ01000118.1', 'NZ_FOSJ01000117.1', 'NZ_FOSJ01000116.1', 'NZ_FOSJ01000115.1', 'NZ_FOSJ01000114.1', 'NZ_FOSJ01000113.1', 'NZ_FOSJ01000112.1', 'NZ_FOSJ01000111.1', 'NZ_FOSJ01000110.1', 'NZ_FOSJ01000109.1', 'NZ_FOSJ01000108.1', 'NZ_FOSJ01000107.1', 'NZ_FOSJ01000106.1']"
SAMN03264962,"['MZEI01000008', 'MZEI01000008']","['NZ_MZEI00000000.1', 'NZ_MZEI01000118.1', 'NZ_MZEI01000117.1', 'NZ_MZEI01000116.1', 'NZ_MZEI01000115.1', 'NZ_MZEI01000114.1', 'NZ_MZEI01000112.1', 'NZ_MZEI01000111.1', 'NZ_MZEI01000110.1', 'NZ_MZEI01000109.1', 'NZ_MZEI01000108.1', 'NZ_MZEI01000107.1', 'NZ_MZEI01000106.1', 'NZ_MZEI01000105.1', 'NZ_MZEI01000104.1', 'NZ_MZEI01000103.1', 'NZ_MZEI01000102.1', 'NZ_MZEI01000101.1', 'NZ_MZEI01000100.1', 'NZ_MZEI01000099.1']"
SAMN02886895,['JPPL01000118'],"['NZ_JPPL00000000.1', 'NZ_JPPL01000120.1', 'NZ_JPPL01000119.1', 'NZ_JPPL01000117.1', 'NZ_JPPL01000115.1', 'NZ_JPPL01000114.1', 'NZ_JPPL01000113.1', 'NZ_JPPL01000112.1', 'NZ_JPPL01000111.1', 'NZ_JPPL01000110.1', 'NZ_JPPL01000109.1', 'NZ_JPPL01000108.1', 'NZ_JPPL01000107.1', 'NZ_JPPL01000106.1', 'NZ_JPPL01000105.1', 'NZ_JPPL01000104.1', 'NZ_JPPL01000103.1', 'NZ_JPPL01000102.1', 'NZ_JPPL01000101.1', 'NZ_JPPL01000100.1']"
SAMEA859928,"['CGBL01000014', 'CGBL01000014']","['NZ_CGBL00000000.1', 'NZ_CGBL01000053.1', 'NZ_CGBL01000052.1', 'NZ_CGBL01000051.1', 'NZ_CGBL01000050.1', 'NZ_CGBL01000049.1', 'NZ_CGBL01000048.1', 'NZ_CGBL01000047.1', 'NZ_CGBL01000046.1', 'NZ_CGBL01000045.1', 'NZ_CGBL01000044.1', 'NZ_CGBL01000043.1', 'NZ_CGBL01000042.1', 'NZ_CGBL01000041.1', 'NZ_CGBL01000040.1', 'NZ_CGBL01000039.1', 'NZ_CGBL01000038.1', 'NZ_CGBL01000037.1', 'NZ_CGBL01000036.1', 'NZ_CGBL01000035.1']"
SAMN02604079,"['CP000023', 'CP000023']","['NC_006448.1', 'CP000023.1']"
SAMN03992189,['LIIH01000037'],"['NZ_LIIH00000000.1', 'NZ_LIIH01000218.1', 'NZ_LIIH01000217.1', 'NZ_LIIH01000216.1', 'NZ_LIIH01000215.1', 'NZ_LIIH01000214.1', 'NZ_LIIH01000213.1', 'NZ_LIIH01000212.1', 'NZ_LIIH01000211.1', 'NZ_LIIH01000210.1', 'NZ_LIIH01000209.1', 'NZ_LIIH01000208.1', 'NZ_LIIH01000207.1', 'NZ_LIIH01000206.1', 'NZ_LIIH01000205.1', 'NZ_LIIH01000204.1', 'NZ_LIIH01000203.1', 'NZ_LIIH01000202.1', 'NZ_LIIH01000201.1', 'NZ_LIIH01000200.1']"
SAMN04244569,['FOYK01000042'],"['NZ_FOYK00000000.1', 'NZ_FOYK01000090.1', 'NZ_FOYK01000089.1', 'NZ_FOYK01000088.1', 'NZ_FOYK01000087.1', 'NZ_FOYK01000086.1', 'NZ_FOYK01000085.1', 'NZ_FOYK01000084.1', 'NZ_FOYK01000083.1', 'NZ_FOYK01000082.1', 'NZ_FOYK01000081.1', 'NZ_FOYK01000080.1', 'NZ_FOYK01000079.1', 'NZ_FOYK01000078.1', 'NZ_FOYK01000077.1', 'NZ_FOYK01000076.1', 'NZ_FOYK01000075.1', 'NZ_FOYK01000074.1', 'NZ_FOYK01000073.1', 'NZ_FOYK01000072.1']"
SAMN02598450,"['CP000352', 'CP000352']","['NC_007974.2', 'NC_007971.2', 'NC_007972.2', 'NC_007973.1', 'CP000355.2', 'CP000354.2', 'CP000353.2', 'CP000352.1']"
SAMN02598451,"['CP000271', 'CP000271', 'CP000272', 'CP000272', 'CP000272']","['NC_007951.1', 'NC_007953.1', 'NC_007952.1', 'CP000272.1', 'CP000271.1', 'CP000270.1']"
SAMN02866417,"['CP008760', 'CP008761', 'CP008762', 'CP008761', 'CP008760']","['NZ_CP008762.1', 'NZ_CP008761.1', 'NZ_CP008760.1', 'CP008762.1', 'CP008761.1', 'CP008760.1']"
SAMN03653364,"['CP012199', 'CP012199', 'CP012199', 'CP012199', 'CP012199', 'CP012199']","['NZ_CP012199.1', 'CP012199.1']"
SAMN04299461,"['LSJK01000227', 'LSJK01000058', 'LSJK01000130', 'LSJK01000271', 'LSJK01000025', 'LSJK01000218', 'LSJK01000094', 'LSJK01000284', 'LSJK01000096', 'LSJK01000218', 'LSJK01000028']","['NZ_LSJK00000000.1', 'NZ_LSJK01000301.1', 'NZ_LSJK01000300.1', 'NZ_LSJK01000299.1', 'NZ_LSJK01000298.1', 'NZ_LSJK01000297.1', 'NZ_LSJK01000296.1', 'NZ_LSJK01000295.1', 'NZ_LSJK01000294.1', 'NZ_LSJK01000293.1', 'NZ_LSJK01000292.1', 'NZ_LSJK01000291.1', 'NZ_LSJK01000290.1', 'NZ_LSJK01000289.1', 'NZ_LSJK01000288.1', 'NZ_LSJK01000287.1', 'NZ_LSJK01000286.1', 'NZ_LSJK01000285.1', 'NZ_LSJK01000284.1', 'NZ_LSJK01000283.1']"
SAMN04299489,"['LSKM01000072', 'LSKM01000131', 'LSKM01000157', 'LSKM01000068', 'LSKM01000174', 'LSKM01000094', 'LSKM01000094', 'LSKM01000162', 'LSKM01000010']","['NZ_LSKM00000000.1', 'NZ_LSKM01000266.1', 'NZ_LSKM01000264.1', 'NZ_LSKM01000263.1', 'NZ_LSKM01000262.1', 'NZ_LSKM01000261.1', 'NZ_LSKM01000260.1', 'NZ_LSKM01000259.1', 'NZ_LSKM01000258.1', 'NZ_LSKM01000257.1', 'NZ_LSKM01000256.1', 'NZ_LSKM01000255.1', 'NZ_LSKM01000254.1', 'NZ_LSKM01000253.1', 'NZ_LSKM01000252.1', 'NZ_LSKM01000251.1', 'NZ_LSKM01000250.1', 'NZ_LSKM01000249.1', 'NZ_LSKM01000248.1', 'NZ_LSKM01000247.1']"
SAMN02598263,"['CP000614', 'CP000614']","['CP000617.1', 'CP000619.1', 'CP000620.1', 'CP000618.1', 'CP000621.1', 'CP000614.1', 'CP000615.1', 'CP000616.1']"
SAMN02598543,"['CP000088', 'CP000088']","['NC_007333.1', 'CP000088.1']"
SAMN03450767,"['LAYJ01000088', 'LAYJ01000061']","['NZ_LAYJ00000000.1', 'NZ_LAYJ01000134.1', 'NZ_LAYJ01000133.1', 'NZ_LAYJ01000132.1', 'NZ_LAYJ01000131.1', 'NZ_LAYJ01000130.1', 'NZ_LAYJ01000129.1', 'NZ_LAYJ01000128.1', 'NZ_LAYJ01000127.1', 'NZ_LAYJ01000126.1', 'NZ_LAYJ01000125.1', 'NZ_LAYJ01000124.1', 'NZ_LAYJ01000123.1', 'NZ_LAYJ01000122.1', 'NZ_LAYJ01000121.1', 'NZ_LAYJ01000120.1', 'NZ_LAYJ01000119.1', 'NZ_LAYJ01000118.1', 'NZ_LAYJ01000117.1', 'NZ_LAYJ01000116.1']"
SAMN04209960,"['LLYX01000064', 'LLYX01000064']","['NZ_LLYX00000000.1', 'NZ_LLYX01000113.1', 'NZ_LLYX01000112.1', 'NZ_LLYX01000111.1', 'NZ_LLYX01000110.1', 'NZ_LLYX01000109.1', 'NZ_LLYX01000108.1', 'NZ_LLYX01000107.1', 'NZ_LLYX01000106.1', 'NZ_LLYX01000105.1', 'NZ_LLYX01000104.1', 'NZ_LLYX01000103.1', 'NZ_LLYX01000102.1', 'NZ_LLYX01000101.1', 'NZ_LLYX01000100.1', 'NZ_LLYX01000099.1', 'NZ_LLYX01000098.1', 'NZ_LLYX01000097.1', 'NZ_LLYX01000096.1', 'NZ_LLYX01000095.1']"
SAMEA2786271,['CCYE01000026'],"['CCYE00000000.1', 'CCYE01000001.1', 'CCYE01000002.1', 'CCYE01000003.1', 'CCYE01000004.1', 'CCYE01000005.1', 'CCYE01000006.1', 'CCYE01000007.1', 'CCYE01000008.1', 'CCYE01000009.1', 'CCYE01000010.1', 'CCYE01000011.1', 'CCYE01000012.1', 'CCYE01000013.1', 'CCYE01000014.1', 'CCYE01000015.1', 'CCYE01000016.1', 'CCYE01000017.1', 'CCYE01000018.1', 'CCYE01000019.1']"
SAMEA3920025,"['FKLO01000054', 'FKLO01000057']","['NZ_FKLO00000000.1', 'NZ_FKLO01000088.1', 'NZ_FKLO01000087.1', 'NZ_FKLO01000086.1', 'NZ_FKLO01000085.1', 'NZ_FKLO01000084.1', 'NZ_FKLO01000083.1', 'NZ_FKLO01000082.1', 'NZ_FKLO01000081.1', 'NZ_FKLO01000080.1', 'NZ_FKLO01000079.1', 'NZ_FKLO01000078.1', 'NZ_FKLO01000077.1', 'NZ_FKLO01000076.1', 'NZ_FKLO01000075.1', 'NZ_FKLO01000074.1', 'NZ_FKLO01000073.1', 'NZ_FKLO01000072.1', 'NZ_FKLO01000071.1', 'NZ_FKLO01000070.1']"
SAMEA1705957,"['CR626927', 'CR626927']","['NC_003228.3', 'NC_006873.1', 'CR626928.1', 'CR626927.1']"
SAMEA1705932,['AM180355'],"['NC_008226.2', 'NC_009089.1', 'AM180356.2', 'AM180355.1']"
SAMN04012428,['CP008934'],"['CP008934.1', 'CP008935.1']"
SAMN02797806,"['JQBU01000004', 'JQBU01000004']","['NZ_JQBU00000000.1', 'NZ_JQBU01000035.1', 'NZ_JQBU01000034.1', 'NZ_JQBU01000033.1', 'NZ_JQBU01000032.1', 'NZ_JQBU01000031.1', 'NZ_JQBU01000030.1', 'NZ_JQBU01000029.1', 'NZ_JQBU01000028.1', 'NZ_JQBU01000027.1', 'NZ_JQBU01000026.1', 'NZ_JQBU01000025.1', 'NZ_JQBU01000024.1', 'NZ_JQBU01000023.1', 'NZ_JQBU01000022.1', 'NZ_JQBU01000021.1', 'NZ_JQBU01000020.1', 'NZ_JQBU01000019.1', 'NZ_JQBU01000018.1', 'NZ_JQBU01000017.1']"
SAMN05567459,['MDLS01000093'],"['NZ_MDLS00000000.1', 'NZ_MDLS01000130.1', 'NZ_MDLS01000129.1', 'NZ_MDLS01000128.1', 'NZ_MDLS01000127.1', 'NZ_MDLS01000126.1', 'NZ_MDLS01000125.1', 'NZ_MDLS01000124.1', 'NZ_MDLS01000123.1', 'NZ_MDLS01000122.1', 'NZ_MDLS01000121.1', 'NZ_MDLS01000120.1', 'NZ_MDLS01000119.1', 'NZ_MDLS01000118.1', 'NZ_MDLS01000117.1', 'NZ_MDLS01000116.1', 'NZ_MDLS01000115.1', 'NZ_MDLS01000114.1', 'NZ_MDLS01000113.1', 'NZ_MDLS01000112.1']"
SAMN03024156,['JRGA01000015'],"['NZ_JRGA00000000.1', 'NZ_JRGA01000018.1', 'NZ_JRGA01000017.1', 'NZ_JRGA01000016.1', 'NZ_JRGA01000015.1', 'NZ_JRGA01000014.1', 'NZ_JRGA01000013.1', 'NZ_JRGA01000012.1', 'NZ_JRGA01000011.1', 'NZ_JRGA01000010.1', 'NZ_JRGA01000009.1', 'NZ_JRGA01000008.1', 'NZ_JRGA01000007.1', 'NZ_JRGA01000006.1', 'NZ_JRGA01000005.1', 'NZ_JRGA01000004.1', 'NZ_JRGA01000003.1', 'NZ_JRGA01000002.1', 'NZ_JRGA01000001.1', 'JRGA00000000.1']"
SAMN05178614,"['CP021070', 'CP021070']","['NZ_CP021071.1', 'NZ_CP021070.1', 'CP021071.1', 'CP021070.1']"
SAMN02603292,['AE017333'],"['NC_006322.1', 'AE017333.1']"
SAMN03948580,['KQ957396'],"['NZ_LRQI00000000.1', 'NZ_KQ957401.1', 'NZ_KQ957400.1', 'NZ_KQ957399.1', 'NZ_KQ957398.1', 'NZ_KQ957397.1', 'NZ_KQ957396.1', 'NZ_KQ957395.1', 'NZ_KQ957394.1', 'NZ_KQ957393.1', 'NZ_KQ957392.1', 'NZ_KQ957391.1', 'NZ_KQ957390.1', 'NZ_KQ957389.1', 'NZ_KQ957388.1', 'NZ_KQ957387.1', 'NZ_KQ957386.1', 'NZ_KQ957385.1', 'NZ_KQ957384.1', 'NZ_KQ957383.1']"
SAMN06646534,['CP020769'],"['NZ_CP020770.1', 'NZ_CP020769.1', 'CP020770.1', 'CP020769.1']"
SAMN03219950,['LBMT01000001'],"['NZ_LBMT00000000.1', 'NZ_LBMT01000006.1', 'NZ_LBMT01000005.1', 'NZ_LBMT01000004.1', 'NZ_LBMT01000003.1', 'NZ_LBMT01000002.1', 'NZ_LBMT01000001.1', 'LBMT00000000.1', 'LBMT01000001.1', 'LBMT01000002.1', 'LBMT01000003.1', 'LBMT01000004.1', 'LBMT01000005.1', 'LBMT01000006.1']"
SAMN04461788,"['CP014326', 'CP014326', 'CP014326']",['CP014326.1']
SAMN05300426,['CP016602'],"['NZ_CP016602.1', 'CP016602.1']"
SAMN04004267,['LIPZ01000074'],"['NZ_LIPZ00000000.1', 'NZ_LIPZ01000235.1', 'NZ_LIPZ01000234.1', 'NZ_LIPZ01000233.1', 'NZ_LIPZ01000232.1', 'NZ_LIPZ01000231.1', 'NZ_LIPZ01000230.1', 'NZ_LIPZ01000229.1', 'NZ_LIPZ01000228.1', 'NZ_LIPZ01000227.1', 'NZ_LIPZ01000226.1', 'NZ_LIPZ01000225.1', 'NZ_LIPZ01000224.1', 'NZ_LIPZ01000223.1', 'NZ_LIPZ01000222.1', 'NZ_LIPZ01000221.1', 'NZ_LIPZ01000220.1', 'NZ_LIPZ01000219.1', 'NZ_LIPZ01000218.1', 'NZ_LIPZ01000217.1']"
SAMN03295007,"['JXRW01000006', 'JXRW01000020', 'JXRW01000013', 'JXRW01000020', 'JXRW01000013', 'JXRW01000006']","['NZ_JXRW00000000.1', 'NZ_JXRW01000125.1', 'NZ_JXRW01000124.1', 'NZ_JXRW01000123.1', 'NZ_JXRW01000122.1', 'NZ_JXRW01000121.1', 'NZ_JXRW01000120.1', 'NZ_JXRW01000119.1', 'NZ_JXRW01000118.1', 'NZ_JXRW01000117.1', 'NZ_JXRW01000116.1', 'NZ_JXRW01000115.1', 'NZ_JXRW01000114.1', 'NZ_JXRW01000113.1', 'NZ_JXRW01000112.1', 'NZ_JXRW01000111.1', 'NZ_JXRW01000110.1', 'NZ_JXRW01000109.1', 'NZ_JXRW01000108.1', 'NZ_JXRW01000107.1']"
SAMN04372246,"['CP014323', 'CP014323']","['NZ_CP014323.1', 'CP014323.1']"
SAMN05578452,"['MIPW01000030', 'MIPW01000009', 'MIPW01000009']","['NZ_MIPW00000000.1', 'NZ_MIPW01000074.1', 'NZ_MIPW01000073.1', 'NZ_MIPW01000072.1', 'NZ_MIPW01000071.1', 'NZ_MIPW01000070.1', 'NZ_MIPW01000069.1', 'NZ_MIPW01000068.1', 'NZ_MIPW01000067.1', 'NZ_MIPW01000066.1', 'NZ_MIPW01000065.1', 'NZ_MIPW01000064.1', 'NZ_MIPW01000063.1', 'NZ_MIPW01000062.1', 'NZ_MIPW01000061.1', 'NZ_MIPW01000059.1', 'NZ_MIPW01000057.1', 'NZ_MIPW01000056.1', 'NZ_MIPW01000055.1', 'NZ_MIPW01000054.1']"
SAMN05578454,"['MIPY01000048', 'MIPY01000041']","['NZ_MIPY00000000.1', 'NZ_MIPY01000076.1', 'NZ_MIPY01000074.1', 'NZ_MIPY01000073.1', 'NZ_MIPY01000072.1', 'NZ_MIPY01000071.1', 'NZ_MIPY01000069.1', 'NZ_MIPY01000068.1', 'NZ_MIPY01000067.1', 'NZ_MIPY01000066.1', 'NZ_MIPY01000065.1', 'NZ_MIPY01000064.1', 'NZ_MIPY01000063.1', 'NZ_MIPY01000062.1', 'NZ_MIPY01000061.1', 'NZ_MIPY01000060.1', 'NZ_MIPY01000059.1', 'NZ_MIPY01000058.1', 'NZ_MIPY01000057.1', 'NZ_MIPY01000055.1']"
SAMEA4441422,"['FMMN01000067', 'FMMN01000059', 'FMMN01000039', 'FMMN01000067']","['NZ_FMMN00000000.1', 'NZ_FMMN01000071.1', 'NZ_FMMN01000070.1', 'NZ_FMMN01000069.1', 'NZ_FMMN01000068.1', 'NZ_FMMN01000067.1', 'NZ_FMMN01000066.1', 'NZ_FMMN01000065.1', 'NZ_FMMN01000064.1', 'NZ_FMMN01000062.1', 'NZ_FMMN01000061.1', 'NZ_FMMN01000060.1', 'NZ_FMMN01000059.1', 'NZ_FMMN01000058.1', 'NZ_FMMN01000057.1', 'NZ_FMMN01000056.1', 'NZ_FMMN01000055.1', 'NZ_FMMN01000054.1', 'NZ_FMMN01000053.1', 'NZ_FMMN01000052.1']"
SAMEA4441423,"['FMMM01000026', 'FMMM01000068', 'FMMM01000021']","['NZ_FMMM00000000.1', 'NZ_FMMM01000091.1', 'NZ_FMMM01000090.1', 'NZ_FMMM01000089.1', 'NZ_FMMM01000088.1', 'NZ_FMMM01000087.1', 'NZ_FMMM01000086.1', 'NZ_FMMM01000085.1', 'NZ_FMMM01000084.1', 'NZ_FMMM01000083.1', 'NZ_FMMM01000082.1', 'NZ_FMMM01000081.1', 'NZ_FMMM01000080.1', 'NZ_FMMM01000079.1', 'NZ_FMMM01000078.1', 'NZ_FMMM01000077.1', 'NZ_FMMM01000076.1', 'NZ_FMMM01000075.1', 'NZ_FMMM01000074.1', 'NZ_FMMM01000073.1']"
SAMEA4441424,"['FMML01000018', 'FMML01000062', 'FMML01000068', 'FMML01000092', 'FMML01000092', 'FMML01000018', 'FMML01000068', 'FMML01000082']","['NZ_FMML00000000.1', 'NZ_FMML01000097.1', 'NZ_FMML01000096.1', 'NZ_FMML01000095.1', 'NZ_FMML01000094.1', 'NZ_FMML01000093.1', 'NZ_FMML01000092.1', 'NZ_FMML01000091.1', 'NZ_FMML01000090.1', 'NZ_FMML01000089.1', 'NZ_FMML01000088.1', 'NZ_FMML01000087.1', 'NZ_FMML01000086.1', 'NZ_FMML01000085.1', 'NZ_FMML01000084.1', 'NZ_FMML01000083.1', 'NZ_FMML01000082.1', 'NZ_FMML01000081.1', 'NZ_FMML01000080.1', 'NZ_FMML01000079.1']"
SAMN03176940,"['JUET01000032', 'JUET01000109', 'JUET01000075', 'JUET01000057']","['NZ_JUET00000000.1', 'NZ_JUET01000141.1', 'NZ_JUET01000140.1', 'NZ_JUET01000139.1', 'NZ_JUET01000138.1', 'NZ_JUET01000137.1', 'NZ_JUET01000136.1', 'NZ_JUET01000134.1', 'NZ_JUET01000133.1', 'NZ_JUET01000132.1', 'NZ_JUET01000129.1', 'NZ_JUET01000127.1', 'NZ_JUET01000126.1', 'NZ_JUET01000124.1', 'NZ_JUET01000123.1', 'NZ_JUET01000122.1', 'NZ_JUET01000121.1', 'NZ_JUET01000120.1', 'NZ_JUET01000119.1', 'NZ_JUET01000118.1']"
SAMN05629351,['MEHX01000012'],"['NZ_MEHX00000000.1', 'NZ_MEHX01000079.1', 'NZ_MEHX01000078.1', 'NZ_MEHX01000077.1', 'NZ_MEHX01000076.1', 'NZ_MEHX01000075.1', 'NZ_MEHX01000074.1', 'NZ_MEHX01000073.1', 'NZ_MEHX01000072.1', 'NZ_MEHX01000071.1', 'NZ_MEHX01000070.1', 'NZ_MEHX01000069.1', 'NZ_MEHX01000068.1', 'NZ_MEHX01000067.1', 'NZ_MEHX01000066.1', 'NZ_MEHX01000065.1', 'NZ_MEHX01000064.1', 'NZ_MEHX01000063.1', 'NZ_MEHX01000062.1', 'NZ_MEHX01000061.1']"
